FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target
Hf1 Nb1 Ta1 Ti1 Zr1,,C,25.0,9.9,9.893530612,1,335.0,1015.0,,111.0,106.9115089,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Cu1 Fe1 Mn1 Ni1,CAST,,900.0,,8.4,0,,,,,189.0,,,10.1016/j.msea.2019.04.096,,0
Al1 Nb1.5 Ta0.5 Ti1.5 Zr0.5,,C,25.0,6.8,6.848966848,1,408.0,1280.0,1367.0,,105.1027635,4.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Cr1 Fe1 Ni1,WROUGHT,T,25.0,,8.2,0,,274.0,708.0,,226.0,51.0,,10.1016/j.actamat.2014.08.026,,0
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,ANNEAL,,25.0,,5.9,1,509.0,,,,160.0,,,10.1016/j.jallcom.2009.08.090,,1
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,T,25.0,,9.9,1,366.0,1202.0,1295.0,,107.0,,,10.1016/j.jallcom.2015.07.209,,1
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,WROUGHT,T,25.0,,7.9,0,,401.0,717.0,,208.0,49.0,,10.1016/j.msea.2018.12.077,,0
Al0.3 Co1 Cr1 Cu1 Fe1,,,25.0,,7.7,0,180.0,,,,194.0,,,10.3166/acsm.31.633-648,,0
Co1 Cr1 Fe1 Mn1 Ni1,POWDER,,,,8.0,0,,,,,220.0,59.0,,10.1016/j.jallcom.2018.11.181,,0
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,WROUGHT,T,25.0,,8.6,0,,1100.0,1300.0,,231.0,32.0,,10.1016/j.ijplas.2018.10.005,,0
Mo0.5 Nb1 Ti1 V1 Zr1,,C,25.0,6.8,6.822863505,1,,1473.0,,,122.3241237,32.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co0.25 Cr1 Ni1,WROUGHT,T,25.0,,8.1,0,,395.0,644.0,240.0,238.0,58.0,,10.1016/j.actamat.2019.04.017,,0
Al1 Nb1 Ti1 V1,ANNEAL,C,25.0,,5.5,1,,1000.0,1280.0,,104.0,,,10.1016/j.jallcom.2015.08.224,,1
Co1 Cr1 Fe1 Mn1 Ni1 V0.5,CAST,C,25.0,,7.8,0,186.0,,,,210.0,,75.0,10.1016/j.jallcom.2014.12.157,,0
Co1 Cr1 Mo1 Nb1 Ti0.4,CAST,C,25.0,8.37,8.31263293,1,,1770.0,,,211.8559662,4.62,0.1,,Prof.Yeh-RHEA,1
