FORMULA,Process Method,Measurement Method,Measuremet T (Â°C),Structure: Exp Density (g/cm^3),Structure: Calculated Density (g/cm^3),Structure: Microstructure,Mechanics: Hardness (HV),Mechanics: Yield strength (MPa),Mechanics: Ultra tensle strength (MPa),Mechanics: Exp Young modulus (GPa),Mechanics: Calculated Young modulus (GPa),Mechanics: Fracture Elongation (%),Mechanics: Plastic Elongation (%),Others: DOI,Others: Reference
Al1Co1Cu1Fe1Ni1Ti1,,,25.0,6.5,6.483703401,FCC+BCC,626.0,,,,146.9139293,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cu1Fe1Ni1Ti1,VAM,C,,,6.483703401,BCC+BCC+Laves,,,,,146.9139293,,,,Paper_Collection_6_element
Al1Co1Cu1Fe1Ni1Zr1,,,25.0,6.9,6.90021627,FCC+BCC+Sec.,472.0,,,,131.8119658,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cu1Ni1,VAM,C,,,6.853939203,FCC+BCC,,,,,142.7833388,,,,Paper_Collection_4_element
Al1Co1Cu1Ni1Ti1Zn1,Mechanical alloying + 800℃/30MPa/30min,C,,,6.406819486,FCC+FCC+BCC,,,,,130.7524417,,,,Paper_Collection_6_element
Al1Co1Cu1Ni1Ti1Zn1,Mechanical alloying + 800℃/1000MPa/1h,C,,,6.406819486,FCC+FCC+BCC,,,,,130.7524417,,,,Paper_Collection_6_element
Al1Co1Fe1Mo0.5Ni1,VAM,C,,,7.089701301,B2+Sec.,605,,,,184.1047374,,,,Paper_Collection_5_element
Al1Co1Fe1Mo1Ni1,VAM,C,,,7.460184586,B2+Sec.,,,,,201.2091618,,,,Paper_Collection_5_element
Al1Co1Fe1Ni1,,C,25.0,6.6,6.604716099,BCC,456.0,964.0,,,161.7140033,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Fe1Ni1Ti1V1Zr1,,,25.0,6.2,6.165887156,BCC,790.0,,,,128.8580452,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Cr0.5Nb1Ti1V1,,C,25.0,5.6,5.637471918,BCC,,1300.0,1430.0,,118.5332335,1.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Cr0.5Nb1Ti1V1,ANNEAL,C,25.0,5.6,5.637471918,BCC,,1300.0,1430.0,124.0,118.5332335,1.0,1.0,,Prof.Yeh-RHEA
Al1Cr1.5Nb1Ti1V1,,C,25.0,5.9,5.85939703,FCC+Sec.,,1700.0,1700.0,,141.4457391,1.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Cr1.5Nb1Ti1V1,ANNEAL,C,25.0,5.9,5.85939703,BCC+Laves,,1700.0,1700.0,,141.4457391,1.0,1.0,,Prof.Yeh-RHEA
Al1Cr1Cu1Fe1Ni1,,,25.0,6.8,6.761231946,FCC+BCC,495.0,,,,169.7911625,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Cr1Cu1Fe1Ni1,,,25.0,6.8,6.761231946,FCC+BCC,342.0,,,,169.7911625,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Cr1Cu1Fe1Ni1,VAM,C,,,6.761231946,FCC+BCC,342,,,,169.7911625,,,,Paper_Collection_5_element
