FORMULA,Process Method,Measurement Method,Measuremet T (?°C),Structure: Exp Density (g/cm^3),Structure: Calculated Density (g/cm^3),Structure: Microstructure,Mechanics: Hardness (HV),Mechanics: Yield strength (MPa),Mechanics: Ultra tensle strength (MPa),Mechanics: Exp Young modulus (GPa),Mechanics: Calculated Young modulus (GPa),Mechanics: Fracture Elongation (%),Mechanics: Plastic Elongation (%),Others: DOI,Others: Reference
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,500,,9.9,BCC,,,,82.3,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,520,,9.9,BCC,,,,81.9,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,540,,9.9,BCC,,,,81.6,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,560,,9.9,BCC,,,,81.3,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,580,,9.9,BCC,,,,81,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,600,,9.9,BCC,,,,80.7,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,620,,9.9,BCC,,,,80.4,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,640,,9.9,BCC,,,,80.2,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,660,,9.9,BCC,,,,80,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,680,,9.9,BCC,,,,79.8,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,700,,9.9,BCC,,,,79.6,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,720,,9.9,BCC,,,,79.3,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,740,,9.9,BCC,,,,79,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,760,,9.9,BCC,,,,78.7,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,780,,9.9,BCC,,,,78.4,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,800,,9.9,BCC,,,,78.1,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,820,,9.9,BCC,,,,77.7,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,840,,9.9,BCC,,,,77.4,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,T,25,,9.9,BCC,,985,1004,,107,,,10.1016/j.jallcom.2019.04.291,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,T,25,,9.9,BCC,,972,1000,,107,,,10.1016/j.jallcom.2019.04.291,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,T,25,,9.9,BCC,,967,981,,107,,,10.1016/j.jallcom.2019.04.291,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,T,25,,9.9,BCC,366,1202,1295,,107,,,10.1016/j.jallcom.2015.07.209,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,T,25,,9.9,BCC+BCC,,1303,1334,,107,,,10.1016/j.jallcom.2015.07.209,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,T,25,,9.9,BCC,351,1145,1262,,107,,,10.1016/j.jallcom.2015.07.209,
Hf1Nb1Ta1Ti1Zr1,CAST,C,25,,9.9,BCC,295,1073,,55,107,,,10.1016/j.jallcom.2014.11.064,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,T,25,,9.9,BCC,,940,1080,,107,,,10.1016/j.actamat.2017.09.062,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,T,25,,9.9,BCC,309,830,840,,107,,,10.1016/j.actamat.2017.09.035,
Hf1Nb1Ta1Zr1,ANNEAL,C,25,,11.1,BCC+HCP,571,2310,,,,0.3,,10.1016/j.actamat.2016.01.018,
Hf1Nb1Ta1Zr1,ANNEAL,C,25,,11.1,BCC+HCP,536,2100,2200,,,3.5,,10.1016/j.actamat.2016.01.018,
Hf1Nb1Ta1Zr1,ANNEAL,C,25,,11.1,BCC+HCP,,2020,2030,,,1.7,,10.1016/j.actamat.2016.01.018,
Hf1Nb1Ta1Zr1,ANNEAL,C,25,,11.1,BCC+HCP,550,1950,2010,,,2.2,,10.1016/j.actamat.2016.01.018,
Hf1Nb1Ta1Zr1,CAST,C,25,,11.1,BCC,365,1315,1800,,105,21.6,,10.1016/j.actamat.2016.01.018,
Hf1Nb1Ti1V1Zr1,ANNEAL,C,25,,8.1,BCC+Laves,,1157,1468,,,,,10.1016/j.ijrmhm.2014.07.009,
Hf1Nb1Ti1V1Zr1,ANNEAL,C,25,,8.1,BCC,,1253,1393,,95,,,10.1016/j.ijrmhm.2014.07.009,
Hf1Nb1Ti1V1Zr1,ANNEAL,C,25,,8.1,BCC,,1140,1463,,95,,,10.1016/j.ijrmhm.2014.07.009,
Hf1Nb1Ti1V1Zr1,ANNEAL,C,25,,8.1,BCC,,1120,1376,,95,30,,10.1016/j.ijrmhm.2014.07.009,
Hf1Nb1Ti1V1Zr1,CAST,C,25,,8.1,BCC+Laves,,1170,1463,,,29.6,,10.1016/j.ijrmhm.2014.07.009,
Hf1Nb1Ti1Zr1,CAST,T,25,,8.4,BCC,,879,969,,89,,14.9,10.1016/j.matlet.2014.05.134,
Hf1Nb1Ti1Zr1,WROUGHT,,,,8.4,BCC,,,,69.7,89,,,10.1016/j.intermet.2019.04.003,
Hf1Nb1Ti1Zr1,CAST,C,25,,8.4,BCC,351,1000,,,89,52,,10.1007/s12598-019-01310-6,
Hf1Nb1Ti1Zr1,ANNEAL,,,,8.4,BCC,,,,,89,,,10.1007/s12598-019-01310-6,
Hf1Nb1Ti1Zr1,CAST,C,800,,8.4,BCC,,303,,,89,51,,10.1007/s12598-019-01310-6,
Hf1Nb1Ti1Zr1,CAST,C,1000,,8.4,BCC,,154,,,89,51,,10.1007/s12598-019-01310-6,
Hf1Sc1Ti1Y1Zr1,CAST,C,25,,6.2,Other,256,793,,,,15.7,,10.1007/s00339-019-2484-1,
Hf1Sc1Ti1Zr1,CAST,C,25,,6.8,Other,233,1001,,,,21.9,,10.1007/s00339-019-2484-1,
Hf1Ta0.4Ti1Zr1,CAST,T,25,,9.2,BCC+HCP,,400,1100,,,,,10.1002/adma.201701678,
Hf1Ta0.5Ti1Zr1,CAST,T,25,,9.4,BCC+HCP,,700,1100,,,,,10.1002/adma.201701678,
Hf1Ta0.6Ti1Zr1,CAST,T,25,,9.6,BCC+HCP,,800,1100,,,,,10.1002/adma.201701678,
Hf1Ta1Ti1Zr1,CAST,T,25,,10.2,BCC,,1500,1500,,107,,,10.1002/adma.201701678,
Hf1Ti1Y1Zr1,CAST,C,25,,7,Other,241,554,,,,17.7,,10.1007/s00339-019-2484-1,
Hf1Ti1Zr1,CAST,C,25,,8.3,Other,211,773,,,,17,,10.1007/s00339-019-2484-1,
Hf1Mo0.25Nb1Ta1Ti1Zr1,,C,25,9.9,9.906161127,BCC,395,1112,,121,115.2945674,50,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Mo0.25Nb1Ta1Ti1Zr1,CAST,C,25,9.94,9.906161127,BCC,,1110,,96,115.2945674,50,50,,Prof.Yeh-RHEA
Hf1Mo0.5Nb1Si0.3Ti1V0.5,CAST,C,25,8.75,8.466583224,BCC+Sec.,,1620,,,119.575457,18.5,12.5,,Prof.Yeh-RHEA
Hf1Mo0.5Nb1Si0.5Ti1V0.5,CAST,C,25,8.6,8.169248443,BCC+Sec.,,1790,,,116.0596505,11.9,5.2,,Prof.Yeh-RHEA
Hf1Mo0.5Nb1Si0.7Ti1V0.5,CAST,C,25,8.49,7.899390445,BCC+Sec.,,2130,,,112.8687407,9.2,0.8,,Prof.Yeh-RHEA
Hf1Mo0.5Nb1Ta1Ti1Zr1,,C,25,9.9,9.917872809,BCC,480,1317,,130,123.0677835,50,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Mo0.5Nb1Ta1Ti1Zr1,CAST,C,25,9.96,9.917872809,BCC,,1320,,102,123.0677835,50,50,,Prof.Yeh-RHEA
Hf1Mo0.5Nb1Ti1V0.5,CAST,C,25,9.02,8.97404319,BCC,,1260,,,125.5758684,35,35,,Prof.Yeh-RHEA
Hf1Mo0.75Nb1Ta1Ti1Zr1,,C,25,9.9,9.928762404,BCC,492,1373,,139,130.2953678,50,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Mo0.75Nb1Ta1Ti1Zr1,CAST,C,25,9.97,9.928762404,BCC,,1370,,109,130.2953678,50,50,,Prof.Yeh-RHEA
Hf1Mo1Nb1Ta1Ti1Zr1,CAST,C,25,9.97,9.938913534,BCC,,1512,,115,137.0328224,12,10,,Prof.Yeh-RHEA
Hf1Mo1Nb1Ta1Ti1W1Zr1,CAST,C,25,11.06,11.07993463,BCC,,1637,,,170.0287422,15.5,13,,Prof.Yeh-RHEA
Hf1Mo1Nb1Ta1Ti1Zr1,,,25,9.95,9.938913534,BCC,,1512,,,137.0328224,12,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Mo1Nb1Ta1Ti1Zr1,,,800,9.95,9.938913534,BCC,,1007,,,137.0328224,23,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Mo1Nb1Ta1Ti1Zr1,,,1000,9.95,9.938913534,BCC,,814,,,137.0328224,30,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Mo1Nb1Ta1Ti1Zr1,,,1200,9.95,9.938913534,BCC,,556,,,137.0328224,30,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Mo1Nb1Ta1Ti1Zr1,,C,25,10,9.938913534,BCC,505,1512,,,137.0328224,12,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Mo1Nb1Ta1Ti1Zr1,,C,25,9.9,9.938913534,BCC,505,1512,,147,137.0328224,12,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Mo1Nb1Ti1Zr1,,,25,8.7,8.685086263,BCC,,1575,,,127.9212828,9,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Mo1Nb1Ti1Zr1,,,800,8.7,8.685086263,BCC,,825,,,127.9212828,50,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Mo1Nb1Ti1Zr1,,,1000,8.7,8.685086263,BCC,,635,,,127.9212828,50,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Mo1Nb1Ti1Zr1,,,1200,8.7,8.685086263,BCC,,187,,,127.9212828,50,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Mo1Nb1Zr1Ti1,,C,25,8.7,8.685086263,BCC,,1803,1719,,127.9212828,10,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Mo1Ta1Ti1Zr1,,,25,10.21,10.19147746,BCC,,1600,,,142.9802846,4,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Mo1Ta1Ti1Zr1,,,800,10.21,10.19147746,BCC,,1045,,,142.9802846,19,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Mo1Ta1Ti1Zr1,,,1000,10.21,10.19147746,BCC,,855,,,142.9802846,30,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Mo1Ta1Ti1Zr1,,,1200,10.21,10.19147746,BCC,,404,,,142.9802846,30,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Mo1Ta1Ti1Zr1,,C,25,10.2,10.19147746,BCC,542,1600,,,142.9802846,4,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb0.5Ta0.5Ti1Zr1O0.1,CAST,C,25,9.29,9.000474978,BCC,,1100,,,,50,50,,Prof.Yeh-RHEA
Hf1Nb0.5Ta0.5Ti1Zr1O0.05,CAST,C,25,9.29,9.141264456,BCC,,955,,,,50,50,,Prof.Yeh-RHEA
Hf1Nb0.5Ta0.5Ti1Zr1O0.2,CAST,C,25,9.29,8.73288579,BCC,,1390,,,,8.2,5,,Prof.Yeh-RHEA
Hf1Nb1Si0.5Ti1V1,,,25,7.8,7.800398498,BCC+Sec.,,1399,,,96.79415347,11,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Si0.5Ti1V1,,,800,7.8,7.800398498,BCC+Sec.,,875,,,96.79415347,50,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Si0.5Ti1V1,,,1000,7.8,7.800398498,BCC+Sec.,,240,,,96.79415347,50,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Si0.5Ti1V1,,C,25,7.8,7.800398498,BCC+Sec.,490,1399,1608,,96.79415347,11,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Si0.5Ti1V1,CAST,C,25,8.6,7.800398498,BCC+Sec.,,1400,1608,,96.79415347,10.9,4,,Prof.Yeh-RHEA
Hf1Nb1Si0.5Ti1V1Zr1,,,0,7.5,7.513774178,BCC+Sec.,,1540,,,90.41466498,17,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Si0.5Ti1V1Zr1,,,600,7.5,7.513774178,BCC+Sec.,,1252,,,90.41466498,50,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Si0.5Ti1V1Zr1,,,800,7.5,7.513774178,BCC+Sec.,,427,,,90.41466498,50,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Si0.5Ti1V1Zr1,,C,25,7.5,7.513774178,BCC+Sec.,464,1540,1643,,90.41466498,17,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Si0.5Ti1V1Zr1,CAST,C,25,7.8,7.513774178,BCC+Laves+Sec.,464,1540,1643,,90.41466498,17,4,,Prof.Yeh-RHEA
Hf1Nb1Ta1Ti1W1Zr1,CAST,C,25,11.23,11.19531061,BCC,,1550,,,148.4958845,26.3,24.5,,Prof.Yeh-RHEA
Hf1Nb1Ta1Ti1Zr1,,,25,9.9,9.893530612,BCC,,929,,,106.9115089,50,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Ta1Ti1Zr1,,,600,9.9,9.893530612,BCC,,675,,,106.9115089,50,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Ta1Ti1Zr1,,,800,9.9,9.893530612,BCC,,535,,,106.9115089,50,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Ta1Ti1Zr1,,,1000,9.9,9.893530612,BCC,,295,,,106.9115089,50,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Ta1Ti1Zr1,,,1200,9.9,9.893530612,BCC,,92,,,106.9115089,50,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Ta1Ti1Zr1,,,1400,9.9,9.893530612,BCC,,790,,,106.9115089,50,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Ta1Ti1Zr1,,C,25,9.9,9.893530612,BCC,335,1015,,111,106.9115089,50,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Ta1Ti1Zr1,,C,25,9.9,9.893530612,BCC,295,1073,,111,106.9115089,50,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Ta1Ti1Zr1,,C,25,9.9,9.893530612,BCC,390,929,,,106.9115089,50,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Ta1Zr1,,C,25,11.1,11.06162515,BCC,365,1315,,,104.9436304,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Ta1Zr1,CAST,C,25,11.3,11.06162515,BCC,,1320,,,104.9436304,34,32,,Prof.Yeh-RHEA
Hf1Nb1Ti1V1Zr1,,,25,8.1,8.0598931,BCC+Sec.,,1170,,,94.98742358,30,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Ti1V1Zr1,,,300,8.1,8.0598931,BCC+Sec.,,1120,,,94.98742358,30,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Ti1V1Zr1,,,500,8.1,8.0598931,BCC+Sec.,,1253,,,94.98742358,38,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Ti1V1Zr1,,,700,8.1,8.0598931,BCC+Sec.,,1140,,,94.98742358,30,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Ti1V1Zr1,,,900,8.1,8.0598931,BCC+Sec.,,1157,,,94.98742358,40,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Ti1V1Zr1,,C,25,8.1,8.0598931,BCC+Sec.,388,1170,1463,,94.98742358,30,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Ti1V1Zr1,CAST,C,25,8.1,8.0598931,BCC,388,1170,1463,128,94.98742358,30,30,,Prof.Yeh-RHEA
Hf1Nb1Ti1Zr1,,T,25,8.4,8.389278152,BCC,,879,969,,89.37400368,15,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf1Nb1Ti1Zr1,ANNEAL,T,25,8.395,8.389278152,BCC,,879,,,89.37400368,14.9,,,Prof.Yeh-RHEA
Mo0.135Nb0.205Ti0.24V0.20Zr0.22,CAST,C,25,6.845,6.835399701,BCC,,1475.5,,,126.8650501,29.75,22,,Prof.Yeh-RHEA
Mo0.13Si0.05Ti0.35V0.31Zr0.16,CAST,C,25,5.91,5.88473401,BCC+Sec.,,1432,,,129.6372579,23.7,16.1,,Prof.Yeh-RHEA
Mo0.15Nb0.095Ti0.325V0.27Zr0.16,CAST,C,25,6.46,6.464510938,BCC,,1526,,,135.9988299,26.9,18.9,,Prof.Yeh-RHEA
Mo0.1Nb1Ti1V0.3Zr1,ANNEAL,C,25,,6.6,BCC,,932,,,102,,45,10.1016/j.matdes.2015.06.072,
Mo0.333Nb0.333Ti0.333V1Zr0.333,CAST,C,25,,6.9,BCC,,1418,2508,,138,24,,10.1007/s11837-012-0366-5,
Mo0.3Nb1Ti1V0.3Zr1,ANNEAL,C,25,,6.8,BCC,,1312,,,112,,50,10.1016/j.matdes.2015.06.072,
Mo0.3Nb1Ti1V1Zr1,ANNEAL,C,25,,6.7,BCC,,1289,,,114,,42,10.1016/j.matdes.2015.06.072,
Mo0.3Nb1Ti1V1Zr1,,C,25,6.7,6.685845916,BCC,,1289,,,114.0081503,42,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Mo0.3Nb1Ti1V1Zr1,CAST,C,25,6.7,6.685845916,BCC,,1289,,,114.0081503,42,42,,Prof.Yeh-RHEA
Mo0.5Nb0.5Ti0.5V1Zr0.5,CAST,C,25,,7,BCC,,1538,3176,,139,23,,10.1007/s11837-012-0366-5,
Mo0.5Nb1Ti1V0.3Zr1,ANNEAL,C,25,,6.9,BCC,,1301,,,122,,43,10.1016/j.matdes.2015.06.072,
Mo0.5Nb1Ti1V1Zr1,ANNEAL,C,25,,6.8,BCC,,1473,,,122,,32,10.1016/j.matdes.2015.06.072,
Mo0.5Nb1Ti1V1Zr1,,C,25,6.8,6.822863505,BCC,,1473,,,122.3241237,32,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Mo0.5Nb1Ti1V1Zr1,CAST,C,25,6.8,6.822863505,BCC,,1473,,,122.3241237,32,32,,Prof.Yeh-RHEA
Mo0.667Nb0.667Ti0.667V1Zr0.667,CAST,C,25,,7.1,BCC,,1735,3300,,140,20,,10.1007/s11837-012-0366-5,
Mo0.7Nb1Ti1V0.3Zr1,ANNEAL,C,25,,7.1,BCC,,1436,,,130,,27,10.1016/j.matdes.2015.06.072,
Mo0.7Nb1Ti1V1Zr1,ANNEAL,C,25,,6.9,BCC,,1706,,,130,,32,10.1016/j.matdes.2015.06.072,
Mo0.7Nb1Ti1V1Zr1,,C,25,7,6.949676036,BCC,,1706,,,130.0207242,32,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Mo0.7Nb1Ti1V1Zr1,CAST,C,25,7,6.949676036,BCC,,1706,,,130.0207242,32,32,,Prof.Yeh-RHEA
Mo1.3Nb1Ti1V1Zr1,,C,25,7.3,7.279138633,BCC,,1496,,,150.0167131,30,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Mo1.3Nb1Ti1V1Zr1,CAST,C,25,7.3,7.279138633,BCC,,1496,,,150.0167131,30,30,,Prof.Yeh-RHEA
Mo1.5Nb1Ti1V1Zr1,,C,25,7.4,7.374721493,BCC,,1603,,,155.8178991,20,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Mo1.5Nb1Ti1V1Zr1,CAST,C,25,7.4,7.374721493,BCC,,1603,,,155.8178991,20,20,,Prof.Yeh-RHEA
Mo1.7Nb1Ti1V1Zr1,,C,25,7.5,7.464302832,BCC,,1645,,,161.2548363,15,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Mo1.7Nb1Ti1V1Zr1,CAST,C,25,7.5,7.464302832,BCC,,1645,,,161.2548363,15,15,,Prof.Yeh-RHEA
Mo1Nb0.588Ti0.588V0.588Zr0.588,ANNEAL,C,25,,7.5,BCC,,1645,,,161,,15,10.1016/j.matdes.2015.06.072,
Mo1Nb0.5Ti0.5V0.5Zr0.5,ANNEAL,C,25,,7.6,BCC,,1765,,,169,,12,10.1016/j.matdes.2015.06.072,
Mo1Nb0.667Ti0.667V0.2Zr0.667,ANNEAL,C,25,,7.5,BCC,,1576,,,159,,8,10.1016/j.matdes.2015.06.072,
Mo1Nb0.667Ti0.667V0.667Zr0.667,ANNEAL,C,25,,7.4,BCC,,1603,,,156,,20,10.1016/j.matdes.2015.06.072,
Mo1Nb0.769Ti0.769V0.231Zr0.769,ANNEAL,C,25,,7.4,BCC,,1603,,,153,,20,10.1016/j.matdes.2015.06.072,
Mo1Nb0.769Ti0.769V0.769Zr0.769,ANNEAL,C,25,,7.3,BCC,,1496,,,150,,30,10.1016/j.matdes.2015.06.072,
Mo1Nb1Re0.5W1,CAST,C,25,,13.7,BCC,473,896,,,298,10.4,7.08,10.1016/j.jallcom.2018.11.111,
Mo1Nb1Si0.25Ta1W1,POWDER,C,25,,12.9,BCC+Sec.,567,1826,,,,16.5,10.5,10.1007/s10853-019-03567-9,
Mo1Nb1Si0.25Ta1W1,POWDER,,200,,12.9,BCC+Sec.,425,,,,,,,10.1007/s10853-019-03567-9,
Mo1Nb1Si0.25Ta1W1,POWDER,,400,,12.9,BCC+Sec.,420,,,,,,,10.1007/s10853-019-03567-9,
Mo1Nb1Si0.25Ta1W1,POWDER,,600,,12.9,BCC+Sec.,425,,,,,,,10.1007/s10853-019-03567-9,
Mo1Nb1Si0.25Ta1W1,POWDER,,800,,12.9,BCC+Sec.,399.2,,,,,,,10.1007/s10853-019-03567-9,
Mo1Nb1Si0.5Ta1W1,POWDER,C,25,,12.2,BCC+Sec.,697,1883,,,,11,5.8,10.1007/s10853-019-03567-9,
Mo1Nb1Si0.5Ta1W1,POWDER,,200,,12.2,BCC+Sec.,535,,,,,,,10.1007/s10853-019-03567-9,
Mo1Nb1Si0.5Ta1W1,POWDER,,400,,12.2,BCC+Sec.,560,,,,,,,10.1007/s10853-019-03567-9,
Mo1Nb1Si0.5Ta1W1,POWDER,,600,,12.2,BCC+Sec.,540,,,,,,,10.1007/s10853-019-03567-9,
Mo1Nb1Si0.5Ta1W1,POWDER,,800,,12.2,BCC+Sec.,550.5,,,,,,,10.1007/s10853-019-03567-9,
Mo1Nb1Si0.75Ta1W1,POWDER,C,25,,11.6,BCC+Sec.,682.6,2483,,,,6.2,1.6,10.1007/s10853-019-03567-9,
Mo1Nb1Si0.75Ta1W1,POWDER,,200,,11.6,BCC+Sec.,640,,,,,,,10.1007/s10853-019-03567-9,
Mo1Nb1Si0.75Ta1W1,POWDER,,400,,11.6,BCC+Sec.,600,,,,,,,10.1007/s10853-019-03567-9,
Mo1Nb1Si0.75Ta1W1,POWDER,,600,,11.6,BCC+Sec.,650,,,,,,,10.1007/s10853-019-03567-9,
Mo1Nb1Si0.75Ta1W1,POWDER,,800,,11.6,BCC+Sec.,597.3,,,,,,,10.1007/s10853-019-03567-9,
Mo1Nb1Si0.75Ta1W1,POWDER,C,1200,,11.6,BCC+Sec.,,960,,,,22.7,,10.1007/s10853-019-03567-9,
Mo1Nb1Ta1Ti0.25W1,CAST,C,25,,13.1,BCC,478.3,1109,1197,,242,,,10.1016/j.msea.2017.12.004,
Mo1Nb1Ta1Ti0.5W1,CAST,C,25,,12.6,BCC,481.2,1211,1578,,234,,,10.1016/j.msea.2017.12.004,
Mo1Nb1Ta1Ti0.75W1,CAST,C,25,,12.2,BCC,495.6,1304,1593,,228,,,10.1016/j.msea.2017.12.004,
Mo1Nb1Ta1Ti1,ANNEAL,,,,10,BCC,407,,,,179,,,10.1016/j.matdes.2018.06.003,
Mo1Nb1Ta1Ti1,CAST,,,,10,BCC,431,,,,179,,,10.1016/j.matdes.2018.06.003,
Mo1Nb1Ta1Ti1,ANNEAL,C,20,,10,BCC,,1210,,,179,,,10.1016/j.actamat.2019.06.006,
Mo1Nb1Ta1Ti1,ANNEAL,C,60,,10,BCC,,1071,,,179,,,10.1016/j.actamat.2019.06.006,
Mo1Nb1Ta1Ti1,ANNEAL,C,100,,10,BCC,,1029,,,179,,,10.1016/j.actamat.2019.06.006,
Mo1Nb1Ta1Ti1,ANNEAL,C,200,,10,BCC,,868,,,179,,,10.1016/j.actamat.2019.06.006,
