FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,WROUGHT,T,25.0,,7.6,2,,1284.0,1344.0,,189.0,,,10.1016/j.actamat.2015.07.004,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,,25.0,,7.6,0,215.0,,,,189.0,,,10.1007/s11661-006-0081-3,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,C,1000.0,,7.6,0,,150.0,,,,7.6,,10.1007/s11661-005-0218-9,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,C,25.0,,7.6,0,,388.0,,,189.0,5.0,,10.1007/s11661-005-0218-9,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,C,300.0,,7.6,0,,411.0,,,,27.0,,10.1007/s11661-005-0218-9,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,C,500.0,,7.6,0,,421.0,,,189.0,5.0,,10.1007/s11661-005-0218-9,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,C,700.0,,7.6,0,,426.0,,,,12.0,,10.1007/s11661-005-0218-9,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,C,900.0,,7.6,0,,230.0,,,189.0,,,10.1007/s11661-005-0218-9,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,C,1100.0,,7.6,0,,80.0,,,185.0,,,10.1007/s11661-005-0218-9,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.2,CAST,,25.0,,7.5,0,272.0,,,,182.0,,,10.2320/matertrans.47.1395,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.4,CAST,,25.0,,7.3,0,321.0,,,,,,,10.2320/matertrans.47.1395,
